proposition,status,evidence,ceiling
P0,PARTIAL,Practice-grounded RPESK relation was operationalized; general philosophical thesis not established.,Experimental object and design rationale only.
P1,NOT_SUPPORTED; ABSENCE NOT IDENTIFIED,No Phase23 or GLM condition passed the full five-arm/four-cell Direct HFI signature.,No positive HFI claim; no claim that HFI is absent.
P2,NOT_IDENTIFIED,No condition had criterion-valid A_SIB and R plus positive/strict-null signatures and a valid gap.,Observed channel contrasts only; no action-without-structure claim.
P3,NOT_IDENTIFIED,Phase23 near-saturated reverse gap and GLM large relation-action contrasts failed criterion/complete-signature conditions.,"Apparent dissociation statistics, mechanism unresolved."
P4,NOT_ESTABLISHED,No criterion-valid cross-family and external-provider structural deficit pattern.,Tested protocol boundary; no LLM/Transformer defect.
P5,NOT_ESTABLISHED,No objective future-response divergence exceeded the frozen full-signature requirements.,Current equivalence does not establish closure; no empirical nonclosure witness.
P6,PARTIAL—STRENGTHENED,Sealed anti-clustered Phase23 layer and new GLM provider/world branch extended the boundary beyond one clustered task family.,"Robust identification boundary, not HFI generalization."
MB1,SUPPORTED WITH FINITE-PROTOCOL CEILING,Phase23 exact null-like invariance and near-saturated gap both replicated while both interpretations remained unidentified.,Opposed-extreme non-identification within the tested protocol.
MB2,SUPPORTED AS CLAIM-SPECIFIC CALIBRATION RESULT,"GLM passed all four ordinary behavioral criteria, yet P1 and bounded zero remained false and the structure criterion remained invalid.",A positive control validates only the endpoint and claim family it actually calibrates.
CIE,SUPPORTED AS IDENTIFICATION PRINCIPLE,Evaluator contraction and separation-coefficient argument; Phase23/GLM provide bounded empirical illustrations.,Current/evaluator equality does not establish intervention equality; not evidence that true response laws differed.
