claim_id,locations,paper_value_or_scope,evidence_locator,evidence_value,status,action
MATH-001,"manuscript.md:39-45; supplementary_information.md:33-37","E=(z+g)^2-p=(2g+g^2-r)+2ug with u=z-1 and r=p-z^2","Deterministic expansion; /home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/REPRODUCIBILITY/successor/inputs/{A,B}/stages/*/effect.json#/rows","Algebraic identity exact; 18,720 stored effect rows also satisfy residual=pure+cross and residual=z_after^2-target to 70-digit storage precision",exact_match,"None"
MATH-002,"manuscript.md:47-60,169,171; supplementary_information.md:41-73","0<r<=1/4; 0<v<=1/8; E+-E-=4vg; inf_g max(|E+|,|E-|)=2v(sqrt(1+r)-1)>0","Deterministic piecewise calculation; /home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/SOURCE_DATA/figure2_analytic_curve.csv:2-502","Exact derivation holds; illustrative file fixes r=0.2, v=0.1, z+=1.1, z-=0.9, p+=1.4100000000000001, p-=1.01; analytic minimum=0.01908902300206643",exact_match,"None"
MATH-003,"manuscript.md:62-75,171; supplementary_information.md:87-111","Outer rectangle r in [-1/2,1/2], u in [-1/4,1/4]; radicand >=1/16; inner radii 1/4,1/8; stated B*,C* give g=w-z and E=0","Deterministic rationalisation and endpoint minimisation; /home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/SOURCE_DATA/FIGURE_SOURCE_MAP.csv:3","Minimum radicand is (3/4)^2-1/2=1/16; substituting B*,C* reduces g to r/(w+z)=w-z in the inner region",exact_match,"None"
MATH-004,"supplementary_information.md:77-85,115-123","One-variable leading term ab*tau^3; counterexample z=9/10,r=1/5 gives -1/100 for g=r/2 and 1/5-sqrt(30)/25 for g=sqrt(1+r)-1","Deterministic series and exact arithmetic","The first residual is -0.01; the second is approximately -0.0190890230 and has larger absolute value; scaling identities are algebraically exact under the stated compatibility assumptions",exact_match,"None"
MATH-005,"manuscript.md:81-83; supplementary_information.md:133-143","Finite-horizon sufficient-state composition proposition includes successor updates and costs","Proof by induction printed in supplementary_information.md:135-139","Each induction step uses equal action, observation/cost and compact-successor laws; claim is conditional and matches its assumptions",exact_match,"None"
HCL-001,"manuscript.md:101-116,191-193; supplementary_information.md:147-210,247-363","One selected hclose hole in the copied compact_chart_pair_bounds proof; two common declarations; guided arm adds an application strategy","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/INTERNAL/RAW_HCLOSE/20_TASK_AND_RUNNER/TEMPLATE_SOURCE.json; PROOF_TEMPLATE.lean.txt; COMMON_MATH_API.md; ADDITIONAL_INFORMATION.md; /home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/INTERNAL/RAW_HCLOSE/23_REVIEW_ONLY_ORIGINAL_SOURCE/PrimaryCovarianceBounds.full_original.lean:385-441","Template metadata names compact_chart_pair_bounds and one removed hclose body; source lines 424-430 are the original body; both arms share the template and declarations",exact_match,"None"
HCL-002,"manuscript.md:7,120-122,175; supplementary_information.md:216-223","6 returned requests, 5 non-empty compiled candidates; guided outcomes rejected,rejected,accepted; declarations-only outcomes length/no body,rejected,rejected","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/INTERNAL/RAW_HCLOSE/10_CURRENT_RUN/RESULTS.json#/rows; .../history/requests/*/receipt.json; .../standard/requests/*/receipt.json; .../{history,standard}/submissions/*/RESULT.json","calls=6; guided has 3 submissions and request 3 returncode 0; control request 1 finish_reason=length and visible.utf8 size 0, followed by two returncode-1 candidates",exact_match,"None"
HCL-003,"manuscript.md:124; supplementary_information.md:220,223,245; Extended Data Fig. 1","Guided input tokens 2,873/8,805/14,079 and output 6,230/6,225/8,326; totals 25,757/20,781","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/INTERNAL/RAW_HCLOSE/10_CURRENT_RUN/history/requests/{0000,0001,0002}/receipt.json#/usage; /home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/SOURCE_DATA/attempts.csv:2-4","Raw sums are exactly 25,757 input and 20,781 output tokens",exact_match,"None"
HCL-004,"manuscript.md:124; supplementary_information.md:221,223,245; Extended Data Fig. 1","Declarations-only input tokens 2,541/2,607/6,976 and output 32,768/3,181/5,060; totals 12,124/41,009","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/INTERNAL/RAW_HCLOSE/10_CURRENT_RUN/standard/requests/{0000,0001,0002}/receipt.json#/usage; /home/amd/下载/MAOFIELD_NATURE_RESTORED_V8_R2_20260923/SOURCE_DATA/attempts.csv:5-7","Raw sums are exactly 12,124 input and 41,009 output tokens; first output equals configured 32,768-token limit",exact_match,"None"
HCL-005,"manuscript.md:124,197; supplementary_information.md:223-225","Guidance adds 332 initial input tokens; base seed 1,775,273,732 and attempt increments; guided then declarations-only","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/INTERNAL/RAW_HCLOSE/10_CURRENT_RUN/PLAN.json#/seed,/seed_policy,/branches; .../{history,standard}/requests/*/request.json#/seed; receipt usage","2,873-2,541=332; seeds are 1775273732, 1775273733, 1775273734 in each arm; PLAN arm order is HISTORY then STANDARD",exact_match,"None"
HCL-006,"manuscript.md:197,203","At most 3 requests per arm, 6 total; only last 12,000 feedback characters; five candidates compiled","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/INTERNAL/RAW_HCLOSE/10_CURRENT_RUN/PLAN.json#/max_calls_per_arm,/max_total_calls,/compiler_feedback_chars_per_stream; .../20_TASK_AND_RUNNER/direct_task.py:68-75; run_direct.py:101-135","3, 6 and 12,000 are exact; compiler was invoked for the five non-empty bodies only",exact_match,"None"
HCL-007,"manuscript.md:199","Recorded model identifier Qwen/Qwen3.8-27B-FP8","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/INTERNAL/RAW_HCLOSE/10_CURRENT_RUN/PLAN.json#/sampler/model; .../22_ENVIRONMENT/FORMAL_RUNTIME_ACCEPTED.json#/models/data/0","Raw served identifier is qwen3.8-27b-fp8-a256k-nomtp-c1 and root basename is Qwen3.8-27B-FP8; the exact namespaced string Qwen/Qwen3.8-27B-FP8 is absent from the final run records",ambiguous_mapping,"Replace with the exact served identifier, or add a primary identity receipt mapping the served alias to the named model repository"
HCL-008,"manuscript.md:199","262,144 context; one generation; MTP disabled; half precision; TP=2; turboquant_k8v4; PIECEWISE capture [4]; safe sync; temperature=1, top-p=.95, top-k=20, presence=0, repetition=1, EOS active, medium reasoning; max output=32,768, input allowance=196,608","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/INTERNAL/RAW_HCLOSE/22_ENVIRONMENT/FORMAL_RUNTIME_ACCEPTED.json#/argv,/verified_flags,/speculation,/whitelisted_environment; .../10_CURRENT_RUN/PLAN.json#/sampler; .../history/requests/0000/request.json","All values match; max-num-seqs=1 and cooperative global locks support the stated one-generation configuration; runtime record explicitly limits claims about uncooperative clients",exact_match,"None; retain the configuration wording rather than implying a proof that no uncooperative client existed"
HCL-009,"manuscript.md:197,199","No imposed client generation deadline in final run","/home/amd/下载/MAOFIELD_NATURE_PRESUBMISSION_V8_20260922/INTERNAL/RAW_HCLOSE/20_TASK_AND_RUNNER/run_direct.py:165; .../21_SHARED_EXECUTION_CODE/CODE/client.py:8-34","LocalModelClient is instantiated with timeout=None and passes that value to urlopen",exact_match,"None"
